Team,G,KO,Avg,TB,Ret,Avg.1,RetTD,year
Carolina Panthers,16,76,63.6,37,39,18.9,0,2010
Cleveland Browns,16,75,64.7,30,43,19.8,0,2010
New England Patriots,16,111,65.4,52,60,20.5,0,2010
Chicago Bears,16,85,66.2,49,37,20.7,0,2010
New York Jets,16,67,64.8,12,54,21.9,1,2010
Dallas Cowboys,16,79,64.8,30,50,22,1,2010
Denver Broncos,16,99,64.3,65,34,22.1,0,2010
Atlanta Falcons,16,93,65.9,45,48,22.2,0,2010
Buffalo Bills,16,71,63.4,20,51,22.4,1,2010
San Diego Chargers,16,76,66.5,30,45,22.6,0,2010
Seattle Seahawks,16,86,67.1,36,50,22.9,0,2010
Washington Redskins,16,89,64.9,33,55,23,0,2010
Baltimore Ravens,16,86,69.5,49,37,23.2,0,2010
Detroit Lions,16,85,63.2,30,52,23.3,2,2010
Green Bay Packers,16,87,65.4,35,51,23.4,0,2010
New York Giants,16,93,64.9,24,70,23.7,0,2010
Pittsburgh Steelers,16,75,63.8,29,46,24,0,2010
Minnesota Vikings,16,86,68.1,53,33,24.1,0,2010
St. Louis Rams,16,67,67.3,37,30,24.3,0,2010
Cincinnati Bengals,16,87,67,27,60,24.5,1,2010
Indianapolis Colts,16,79,69.1,45,34,24.7,0,2010
Philadelphia Eagles,16,67,65.5,26,41,24.7,0,2010
Miami Dolphins,16,69,66.7,34,35,24.8,1,2010
New Orleans Saints,16,88,66.4,45,42,25,1,2010
Tampa Bay Buccaneers,16,85,67.1,58,27,25.2,0,2010
Kansas City Chiefs,16,56,66.4,27,27,25.6,0,2010
Houston Texans,16,90,63.9,28,62,25.7,2,2010
Jacksonville Jaguars,16,66,67.1,26,39,25.9,0,2010
Tennessee Titans,16,71,66,37,33,26.1,1,2010
Arizona Cardinals,16,61,65.1,29,32,26.4,0,2010
San Francisco 49ers,16,88,66.3,40,48,26.9,0,2010
Oakland Raiders,16,66,67.5,38,30,28.9,2,2010
Buffalo Bills,16,75,64.3,19,56,20.4,0,2011
Washington Redskins,16,70,64.5,32,36,20.8,0,2011
Cincinnati Bengals,16,80,66.1,36,44,20.8,0,2011
New York Jets,16,79,64.8,17,61,21.2,0,2011
Dallas Cowboys,16,86,64.8,33,52,21.4,0,2011
New England Patriots,16,102,66.2,41,60,21.6,0,2011
Houston Texans,16,84,65.7,38,46,22.4,0,2011
Tennessee Titans,16,76,65.1,44,30,22.7,0,2011
Tampa Bay Buccaneers,16,63,66,37,25,22.8,1,2011
Miami Dolphins,16,81,66,40,41,22.9,0,2011
New York Giants,16,80,65.4,34,46,22.9,0,2011
Cleveland Browns,16,56,65.4,10,46,22.9,1,2011
Philadelphia Eagles,16,84,64.9,32,51,23.1,0,2011
San Francisco 49ers,16,93,66.6,47,46,23.1,0,2011
Green Bay Packers,16,108,65,49,59,23.4,0,2011
Pittsburgh Steelers,16,72,66,28,43,23.7,0,2011
Kansas City Chiefs,16,57,64.1,31,25,24.2,0,2011
Jacksonville Jaguars,16,65,66,39,26,24.3,0,2011
Chicago Bears,16,80,65.2,43,35,24.4,0,2011
Denver Broncos,16,68,65.8,47,20,24.6,0,2011
Minnesota Vikings,16,77,64.4,19,57,24.6,1,2011
Atlanta Falcons,16,87,65.8,25,60,24.8,0,2011
Arizona Cardinals,16,74,67.1,22,52,25,0,2011
St. Louis Rams,16,52,66.6,15,36,25.1,0,2011
San Diego Chargers,16,89,66.4,32,57,25.5,1,2011
Detroit Lions,16,95,66,45,49,25.6,1,2011
Oakland Raiders,16,79,63.9,32,47,25.7,1,2011
New Orleans Saints,16,104,65.9,68,36,25.8,1,2011
Seattle Seahawks,16,75,66.1,26,48,26,1,2011
Carolina Panthers,16,82,66.2,53,30,27,0,2011
Baltimore Ravens,16,81,66.1,45,36,29.2,1,2011
Indianapolis Colts,16,60,68.5,41,19,30.7,0,2011
Carolina Panthers,16,76,63.6,37,39,18.9,0,2012
Cleveland Browns,16,75,64.7,30,43,19.8,0,2012
New England Patriots,16,111,65.4,52,60,20.5,0,2012
Chicago Bears,16,85,66.2,49,37,20.7,0,2012
New York Jets,16,67,64.8,12,54,21.9,1,2012
Dallas Cowboys,16,79,64.8,30,50,22,1,2012
Denver Broncos,16,99,64.3,65,34,22.1,0,2012
Atlanta Falcons,16,93,65.9,45,48,22.2,0,2012
Buffalo Bills,16,71,63.4,20,51,22.4,1,2012
San Diego Chargers,16,76,66.5,30,45,22.6,0,2012
Seattle Seahawks,16,86,67.1,36,50,22.9,0,2012
Washington Redskins,16,89,64.9,33,55,23,0,2012
Baltimore Ravens,16,86,69.5,49,37,23.2,0,2012
Detroit Lions,16,85,63.2,30,52,23.3,2,2012
Green Bay Packers,16,87,65.4,35,51,23.4,0,2012
New York Giants,16,93,64.9,24,70,23.7,0,2012
Pittsburgh Steelers,16,75,63.8,29,46,24,0,2012
Minnesota Vikings,16,86,68.1,53,33,24.1,0,2012
St. Louis Rams,16,67,67.3,37,30,24.3,0,2012
Cincinnati Bengals,16,87,67,27,60,24.5,1,2012
Indianapolis Colts,16,79,69.1,45,34,24.7,0,2012
Philadelphia Eagles,16,67,65.5,26,41,24.7,0,2012
Miami Dolphins,16,69,66.7,34,35,24.8,1,2012
New Orleans Saints,16,88,66.4,45,42,25,1,2012
Tampa Bay Buccaneers,16,85,67.1,58,27,25.2,0,2012
Kansas City Chiefs,16,56,66.4,27,27,25.6,0,2012
Houston Texans,16,90,63.9,28,62,25.7,2,2012
Jacksonville Jaguars,16,66,67.1,26,39,25.9,0,2012
Tennessee Titans,16,71,66,37,33,26.1,1,2012
Arizona Cardinals,16,61,65.1,29,32,26.4,0,2012
San Francisco 49ers,16,88,66.3,40,48,26.9,0,2012
Oakland Raiders,16,66,67.5,38,30,28.9,2,2012
