Name,Team,G,Rec,Targets,Rec.Yds,Rec.YG,Rec.Avg,Rec.Lng,YAC,Rec.1stD,Rec.TD,Rush,Rush.Yds,Rush.YG,Rush.Avg,Rush.TD,Fum,FumL,year
 Donald Lee,CIN,9,11,NA,115,12.8,10.5,26,6.5,5,0,0,0,0,NA,0,0,0,2011
 John Phillips,DAL,16,15,NA,101,6.3,6.7,12,6.5,4,1,0,0,0,NA,0,0,0,2011
 Travis Beckum,NYG,13,5,NA,93,7.2,18.6,67,8.4,2,1,0,0,0,NA,0,0,0,2011
 Luke Stocker,TAM,14,12,NA,92,6.6,7.7,24,3.9,5,0,0,0,0,NA,0,0,0,2011
 Michael Hoomanawanui,STL,8,7,NA,83,10.4,11.9,27,8.9,4,0,0,0,0,NA,0,0,0,2011
 Cameron Morrah,SEA,9,6,NA,74,8.2,12.3,21,6.5,4,0,1,1,0.1,1,0,0,0,2011
 Michael Palmer,ATL,16,10,NA,72,4.5,7.2,11,5.1,3,1,0,0,0,NA,0,0,0,2011
 Billy Bajema,STL,16,9,NA,71,4.4,7.9,19,2.1,2,0,0,0,0,NA,0,0,0,2011
 Chris Cooley,WAS,5,8,NA,65,13,8.1,17,5.4,3,0,2,3,0.6,1.5,0,0,0,2011
 Matthew Mulligan,NYJ,16,5,NA,58,3.6,11.6,41,7.8,1,0,0,0,0,NA,0,0,0,2011
 Colin Cloherty,JAC,4,4,NA,57,14.3,14.3,21,8.5,3,0,0,0,0,NA,0,0,0,2011
 Jake O'Connell,KAN,8,7,NA,52,6.5,7.4,15,3,4,0,0,0,0,NA,0,0,0,2011
 Zach Potter,JAC,15,5,NA,50,3.3,10,22,7.8,1,0,0,0,0,NA,0,0,0,2011
 Matt Spaeth,CHI,15,7,NA,50,3.3,7.1,13,3,4,2,0,0,0,NA,0,0,0,2011
 Brody Eldridge,IND,13,9,NA,45,3.5,5,8,1.8,2,0,0,0,0,NA,0,0,0,2011
 Colin Cochart,CIN,10,5,NA,44,4.4,8.8,25,4.6,3,1,0,0,0,NA,0,0,0,2011
 Zach Miller,JAC,4,4,NA,42,10.5,10.5,14,4,2,1,0,0,0,NA,0,0,0,2011
 Will Heller,DET,16,6,NA,42,2.6,7,12,3.8,3,0,0,0,0,NA,0,0,0,2011
 Mike Caussin,BUF,6,5,NA,41,6.8,8.2,13,2.2,2,0,0,0,0,NA,0,0,0,2011
 Zack Pianalto,TAM,13,4,NA,40,3.1,10,15,3.3,2,0,0,0,0,NA,0,0,0,2011
 Tom Crabtree,GNB,16,6,NA,38,2.4,6.3,15,3.3,4,1,0,0,0,NA,0,0,0,2011
 Andrew Quarless,GNB,10,3,NA,36,3.6,12,21,6,3,0,0,0,0,NA,0,0,0,2011
 Jeff Cumberland,NYJ,3,2,NA,35,11.7,17.5,33,8,1,0,0,0,0,NA,0,0,0,2011
 Jordan Cameron,CLE,8,6,NA,33,4.1,5.5,15,2.2,1,0,0,0,0,NA,0,0,0,2011
 Kory Sperry,SDG,16,1,NA,32,2,32,32,18,1,0,0,0,0,NA,0,0,0,2011
 Weslye Saunders,PIT,16,4,NA,29,1.8,7.3,14,1.8,3,1,0,0,0,NA,0,0,0,2011
 Kevin Brock,BUF,2,2,NA,27,13.5,13.5,21,17.5,2,0,0,0,0,NA,0,0,0,2011
 Josh Baker,NYJ,11,3,NA,27,2.5,9,17,4.7,2,1,0,0,0,NA,0,0,0,2011
 Anthony Becht,KAN,9,3,NA,26,2.9,8.7,16,3.3,2,0,0,0,0,NA,0,0,0,2011
 Jim Dray,ARI,10,2,NA,25,2.5,12.5,20,1.5,1,0,0,0,0,NA,0,0,0,2011
 Daniel Graham,TEN,16,2,NA,25,1.6,12.5,21,3,2,1,0,0,0,NA,0,0,0,2011
 Niles Paul,WAS,13,2,NA,25,1.9,12.5,14,0.5,2,0,1,7,0.5,7,0,0,0,2011
 Virgil Green,DEN,15,3,NA,24,1.6,8,9,3.7,2,0,0,0,0,NA,0,0,0,2011
 Garrett Graham,HOU,7,1,NA,24,3.4,24,24,8,1,0,0,0,0,NA,0,0,0,2011
 John Gilmore,NOR,14,3,NA,20,1.4,6.7,9,3.7,1,1,0,0,0,NA,0,0,0,2011
 Justin Peelle,SFO,14,1,NA,19,1.4,19,19,6,1,0,0,0,0,NA,0,0,0,2011
 David Thomas,NOR,5,5,NA,16,3.2,3.2,8,2.8,0,0,0,0,0,NA,0,0,0,2011
 David Ausberry,OAK,12,2,NA,14,1.2,7,10,0.5,2,0,1,-2,-0.2,-2,0,0,0,2011
 Richie Brockel,CAR,11,3,NA,13,1.2,4.3,5,3.3,1,0,3,12,1.1,4,1,0,0,2011
 D.J. Williams,GNB,13,2,NA,13,1,6.5,7,2,0,0,0,0,0,NA,0,0,0,2011
 Lee Smith,BUF,10,4,NA,11,1.1,2.8,6,1,0,0,0,0,0,NA,0,0,0,2011
 Anthony Hill,IND,7,2,NA,10,1.4,5,5,3,0,0,0,0,0,NA,0,0,0,2011
 Jeron Mastrud,MIA,14,1,NA,8,0.6,8,8,3,1,0,0,0,0,NA,0,0,0,2011
 Reggie Kelly,ATL,16,1,NA,7,0.4,7,7,6,0,0,0,0,0,NA,0,0,0,2011
 Julius Thomas,DEN,5,1,NA,5,1,5,5,7,0,0,0,0,0,NA,0,0,0,2011
 Allen Reisner,MIN,6,1,NA,5,0.8,5,5,2,1,0,0,0,0,NA,0,0,0,2011
 Ryan Taylor,GNB,15,1,NA,4,0.3,4,4,0,1,1,0,0,0,NA,0,0,0,2011
 Jim Kleinsasser,MIN,16,1,NA,4,0.3,4,4,3,0,0,0,0,0,NA,0,0,0,2011
 Michael Higgins,NOR,2,1,NA,4,2,4,4,2,0,0,0,0,0,NA,0,0,0,2011
 Stephen Spach,STL,10,2,NA,2,0.2,1,3,0,0,0,0,0,0,NA,0,0,0,2011
 Richard Gordon,OAK,14,1,NA,2,0.1,2,2,7,0,0,0,0,0,NA,0,0,0,2011
 Steve Maneri,KAN,6,1,NA,1,0.2,1,1,2,0,0,0,0,0,NA,0,0,0,2011
 Collin Franklin,TAM,2,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Kris Wilson,BAL,15,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Dominique Byrd,SEA,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Martin Rucker,DAL,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Mike Leach,ARI,16,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Justin Snow,IND,16,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Richard Quinn,WAS,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Dan Gronkowski,CLE,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Fendi Onobun,JAC,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Brian Jennings,SFO,16,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Ben Hartsock,CAR,15,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Joe Zelenka,ATL,16,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 David Martin,BUF,3,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
Jason Whiten,DAL,16,110,148,1039,64.9,9.4,36,2.8,56,3,0,0,0,NA,0,0,0,2012
Jimmy Graham,NOR,15,85,135,982,65.5,11.6,46,3.9,59,9,0,0,0,NA,0,1,0,2012
Tony Gonzalez,ATL,16,93,124,930,58.1,10,25,2.8,65,8,0,0,0,NA,0,0,0,2012
Greg Olsen,CAR,16,69,104,843,52.7,12.2,47,3.9,42,5,0,0,0,NA,0,0,0,2012
Heath Miller,PIT,15,71,101,816,54.4,11.5,43,5.2,44,8,0,0,0,NA,0,1,0,2012
Brandon Myers,OAK,16,79,105,806,50.4,10.2,29,3.8,41,4,0,0,0,NA,0,0,0,2012
Rob Gronkowski,NWE,11,55,80,790,71.8,14.4,41,5.7,45,11,0,0,0,NA,0,1,1,2012
Jermaine Gresham,CIN,16,64,94,737,46.1,11.5,55,6.9,33,5,0,0,0,NA,0,2,1,2012
Owen Daniels,HOU,15,62,104,716,47.7,11.5,39,5.5,37,6,0,0,0,NA,0,0,0,2012
Brent Celek,PHI,15,57,88,684,45.6,12,34,6,32,1,0,0,0,NA,0,1,1,2012
Dennis Pitta,BAL,16,61,94,669,41.8,11,61,4.7,29,7,0,0,0,NA,0,0,0,2012
Jermichael Finley,GNB,16,61,87,667,41.7,10.9,40,5,31,2,0,0,0,NA,0,1,1,2012
Martellus Bennett,NYG,16,55,90,626,39.1,11.4,33,3.8,35,5,0,0,0,NA,0,0,0,2012
Scott Chandler,BUF,15,43,74,571,38.1,13.3,43,4.7,36,6,0,0,0,NA,0,2,1,2012
Brandon Pettigrew,DET,14,59,102,567,40.5,9.6,24,4.3,33,3,0,0,0,NA,0,4,2,2012
Jacob Tamme,DEN,16,52,85,555,34.7,10.7,36,4.2,29,2,0,0,0,NA,0,0,0,2012
Vernon Davis,SFO,16,41,61,548,34.3,13.4,53,4.2,26,5,0,0,0,NA,0,0,0,2012
Marcedes Lewis,JAC,16,52,77,540,33.8,10.4,26,5.1,25,4,0,0,0,NA,0,0,0,2012
Antonio Gates,SDG,15,49,80,538,35.9,11,34,3,30,7,0,0,0,NA,0,0,0,2012
Jared Cook,TEN,13,44,72,523,40.2,11.9,61,4,24,4,0,0,0,NA,0,1,1,2012
Dwayne Allen,IND,16,45,66,521,32.6,11.6,40,5.6,30,3,3,5,0.3,1.7,0,1,0,2012
Lance Kendricks,STL,16,42,64,519,32.4,12.4,80,5.8,25,4,0,0,0,NA,0,1,0,2012
Tony Scheffler,DET,15,42,85,504,33.6,12,57,3.1,28,1,0,0,0,NA,0,0,0,2012
Benjamin Watson,CLE,16,49,82,501,31.3,10.2,27,4.6,27,3,0,0,0,NA,0,1,0,2012
Kyle Rudolph,MIN,16,53,93,493,30.8,9.3,29,5.6,34,9,0,0,0,NA,0,0,0,2012
Aaron Hernandez,NWE,10,51,83,483,48.3,9.5,31,4.6,27,5,1,5,0.5,5,0,0,0,2012
Tony Moeaki,KAN,15,33,56,453,30.2,13.7,38,4.5,24,1,0,0,0,NA,0,0,0,2012
Dallas Clark,TAM,16,47,75,435,27.2,9.3,33,2.5,23,4,0,0,0,NA,0,0,0,2012
Rob Housler,ARI,15,45,68,417,27.8,9.3,33,4.3,17,0,0,0,0,NA,0,0,0,2012
Zach Miller,SEA,16,38,53,396,24.8,10.4,30,3.7,18,3,0,0,0,NA,0,1,1,2012
Jeff Cumberland,NYJ,15,29,53,359,23.9,12.4,39,4.1,18,3,0,0,0,NA,0,0,0,2012
Joel Dreessen,DEN,16,41,58,356,22.3,8.7,30,3.9,19,5,0,0,0,NA,0,0,0,2012
Delanie Walker,SFO,16,21,39,344,21.5,16.4,45,2.7,14,3,0,0,0,NA,0,1,1,2012
Anthony Fasano,MIA,16,41,68,332,20.8,8.1,22,2.4,18,5,0,0,0,NA,0,0,0,2012
Fred Davis,WAS,7,24,32,325,46.4,13.5,29,5.9,17,0,1,1,0.1,1,0,0,0,2012
Dustin Keller,NYJ,8,28,36,317,39.6,11.3,32,3.2,18,2,0,0,0,NA,0,0,0,2012
Logan Paulsen,WAS,16,25,37,308,19.3,12.3,31,4.5,17,1,0,0,0,NA,0,0,0,2012
Anthony McCoy,SEA,16,18,28,291,18.2,16.2,67,8.4,13,3,0,0,0,NA,0,0,0,2012
Coby Fleener,IND,12,26,48,281,23.4,10.8,26,4.3,14,2,0,0,0,NA,0,0,0,2012
Craig Stevens,TEN,15,23,33,275,18.3,12,46,6,14,1,0,0,0,NA,0,2,0,2012
Garrett Graham,HOU,15,28,39,263,17.5,9.4,30,4.6,16,3,0,0,0,NA,0,0,0,2012
Kellen Davis,CHI,16,19,44,229,14.3,12.1,25,4,11,2,0,0,0,NA,0,1,1,2012
Jordan Cameron,CLE,14,20,40,226,16.1,11.3,28,5.5,12,1,0,0,0,NA,0,0,0,2012
Ed Dickson,BAL,13,21,33,225,17.3,10.7,40,4.2,10,0,0,0,0,NA,0,0,0,2012
Charles Clay,MIA,14,18,33,212,15.1,11.8,31,4.8,8,2,0,0,0,NA,0,0,0,2012
Tom Crabtree,GNB,14,8,12,203,14.5,25.4,72,19.8,6,3,0,0,0,NA,0,0,0,2012
Clay Harbor,PHI,14,25,39,186,13.3,7.4,19,3.4,8,2,0,0,0,NA,0,1,1,2012
Luke Stocker,TAM,16,16,27,165,10.3,10.3,33,6.1,8,1,0,0,0,NA,0,0,0,2012
Niles Paul,WAS,16,8,15,152,9.5,19,37,8,5,1,1,-1,-0.1,-1,0,0,0,2012
Will Heller,DET,16,17,23,150,9.4,8.8,19,5.3,9,1,0,0,0,NA,0,0,0,2012
Jeff King,ARI,16,17,29,129,8.1,7.6,27,3.6,6,0,0,0,0,NA,0,0,0,2012
Michael Hoomanawanui,NWE,14,5,7,109,7.8,21.8,41,9.8,4,0,0,0,0,NA,0,0,0,2012
Orson Charles,CIN,16,8,10,101,6.3,12.6,25,6.3,5,0,0,0,0,NA,0,0,0,2012
Dante Rosario,SDG,13,10,18,95,7.3,9.5,18,3.8,6,3,0,0,0,NA,0,1,1,2012
Todd Heap,ARI,2,8,13,94,47,11.8,28,4.5,5,0,0,0,0,NA,0,0,0,2012
David Ausberry,OAK,16,7,12,92,5.8,13.1,31,7.4,5,0,0,0,0,NA,0,0,0,2012
James Hanna,DAL,16,8,11,86,5.4,10.8,29,6.3,4,0,0,0,0,NA,0,0,0,2012
David Thomas,NOR,15,11,17,86,5.7,7.8,20,3.9,6,4,0,0,0,NA,0,0,0,2012
Daniel Fells,NWE,13,4,9,85,6.5,21.3,35,9.3,3,0,0,0,0,NA,0,0,0,2012
Matthew Mulligan,STL,16,8,12,84,5.3,10.5,18,4.6,6,1,0,0,0,NA,0,0,0,2012
Konrad Reuland,NYJ,16,11,16,83,5.2,7.5,18,4.9,6,0,0,0,0,NA,0,0,0,2012
Gary Barnidge,CAR,16,6,6,78,4.9,13,24,7.8,3,1,0,0,0,NA,0,0,0,2012
Kevin Boss,KAN,2,3,3,65,32.5,21.7,29,2.3,3,1,0,0,0,NA,0,0,0,2012
Virgil Green,DEN,12,5,6,63,5.3,12.6,28,11.6,4,0,0,0,0,NA,0,0,0,2012
D.J. Williams,GNB,13,7,15,57,4.4,8.1,12,5.6,3,0,0,0,0,NA,0,0,0,2012
Ladarius Green,SDG,4,4,4,56,14,14,31,10.8,1,0,0,0,0,NA,0,0,0,2012
John Phillips,DAL,16,8,10,55,3.4,6.9,19,1.3,3,1,0,0,0,NA,0,0,0,2012
Garrett Celek,SFO,13,4,7,51,3.9,12.8,35,6,2,0,0,0,0,NA,0,0,0,2012
David Paulson,PIT,16,7,11,51,3.2,7.3,9,3.6,0,0,0,0,0,NA,0,1,0,2012
Steve Maneri,KAN,13,5,12,51,3.9,10.2,19,6.4,3,0,0,0,0,NA,0,0,0,2012
Randy McMichael,SDG,16,9,13,51,3.2,5.7,13,6.4,3,0,0,0,0,NA,0,1,0,2012
Alex Smith,CLE,12,13,18,47,3.9,3.6,17,3.9,2,0,0,0,0,NA,0,0,0,2012
Taylor Thompson,TEN,16,6,13,46,2.9,7.7,12,2.2,0,0,0,0,0,NA,0,0,0,2012
John Carlson,MIN,14,8,14,43,3.1,5.4,14,2.8,4,0,0,0,0,NA,0,0,0,2012
Kyle Adams,CHI,15,4,8,40,2.7,10,17,2,2,0,0,0,0,NA,0,0,0,2012
Bear Pascoe,NYG,15,4,9,35,2.3,8.8,16,5,2,1,0,0,0,NA,0,0,0,2012
Mike McNeill,STL,14,4,7,31,2.2,7.8,10,3.8,1,0,0,0,0,NA,0,0,0,2012
Ben Hartsock,CAR,15,2,3,30,2,15,25,13.5,1,0,0,0,0,NA,0,0,0,2012
Matt Spaeth,CHI,16,6,10,28,1.8,4.7,13,2.8,2,1,0,0,0,NA,0,0,0,2012
Michael Palmer,ATL,13,6,6,22,1.7,3.7,6,2.8,2,1,0,0,0,NA,0,0,0,2012
Cory Harkey,STL,5,1,2,21,4.2,21,21,7,1,0,0,0,0,NA,0,0,0,2012
Jake O'Connell,KAN,8,3,3,18,2.3,6,11,4.7,1,0,0,0,0,NA,0,0,0,2012
Nate Byham,TAM,11,3,4,18,1.6,6,10,2.7,2,1,0,0,0,NA,0,0,0,2012
Hayden Smith,NYJ,5,1,1,16,3.2,16,16,19,1,0,0,0,0,NA,0,0,0,2012
Weslye Saunders,IND,11,2,4,15,1.4,7.5,11,1.5,1,0,0,0,0,NA,0,0,0,2012
Jim Dray,ARI,13,2,2,15,1.2,7.5,12,1,1,0,0,0,0,NA,0,0,0,2012
Allen Reisner,MIN,4,1,2,13,3.3,13,13,2,1,0,0,0,0,NA,0,0,0,2012
Lee Smith,BUF,16,4,4,13,0.8,3.3,5,1.3,3,2,0,0,0,NA,0,0,0,2012
Kellen Winslow,NWE,1,1,2,12,12,12,12,3,1,0,0,0,0,NA,0,0,0,2012
Ryan Taylor,GNB,16,1,1,11,0.7,11,11,6,1,0,0,0,0,NA,0,0,0,2012
Chase Coffman,ATL,5,1,1,11,2.2,11,11,0,1,0,0,0,0,NA,0,0,0,2012
Dedrick Epps,NYJ,3,1,1,9,3,9,9,2,0,0,0,0,0,NA,0,1,1,2012
Leonard Pope,PIT,16,3,4,9,0.6,3,7,2.7,2,2,0,0,0,NA,0,0,0,2012
Richard Gordon,OAK,13,2,7,9,0.7,4.5,8,3,1,1,0,0,0,NA,0,0,0,2012
Chris Cooley,WAS,8,1,3,8,1,8,8,7,1,0,0,0,0,NA,0,0,0,2012
Dominique Jones,IND,4,1,1,8,2,8,8,6,0,0,0,0,0,NA,0,0,0,2012
Tommy Gallarda,ATL,9,1,4,7,0.8,7,7,1,0,0,0,0,0,NA,0,0,0,2012
Evan Moore,PHI,1,1,8,6,0.4,6,6,8,1,0,0,0,0,NA,0,0,0,2012
Zach Potter,JAC,16,2,7,6,0.4,3,4,2,0,0,0,0,0,NA,0,0,0,2012
Brad Smelley,CLE,2,1,1,3,1.5,3,3,0,0,0,0,0,0,NA,0,0,0,2012
Mike Leach,ARI,16,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Daniel Graham,NOR,6,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Jeron Mastrud,MIA,14,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Brian Jennings,SFO,16,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Justin Snow,WAS,8,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Visanthe Shiancoe,NWE,4,0,1,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Julius Thomas,DEN,4,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Colin Cloherty,JAC,1,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Maurice Stovall,JAC,10,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Travis Beckum,NYG,4,0,1,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Stephen Spach,JAC,1,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Billy Bajema,BAL,8,0,1,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Richie Brockel,CAR,16,0,1,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2012
Michael Higgins,NOR,2,1,1,-3,-1.5,-3,-3,1,0,0,0,0,0,NA,0,0,0,2012
