Name,Team,G,Rec,Rec Tgt,Rec Yds,Rec YG,Rec Avg,Rec Lng,YAC,Rec 1stD,Rec TD,Rush,Rush Yds,Rush YG,Rush Avg,Rush TD,Fum,FumL
Jason Witten,DAL,16,94,128,1002,62.6,10.7,33,4.2,49,9,0,0,0.0,,0,1,1
Vernon Davis,SFO,16,56,93,914,57.1,16.3,66,8.2,35,7,0,0,0.0,,0,0,0
Chris Cooley,WAS,16,77,126,849,53.1,11.0,35,5.2,40,3,0,0,0.0,,0,3,1
Antonio Gates,SDG,10,50,65,782,78.2,15.6,48,6.6,42,10,0,0,0.0,,0,0,0
Benjamin Watson,CLE,16,68,102,763,47.7,11.2,44,4.3,40,3,1,-1,-0.1,-1.0,0,0,0
Kellen Winslow,TAM,16,66,98,730,45.6,11.1,41,3.9,36,5,0,0,0.0,,0,1,0
Brandon Pettigrew,DET,16,71,111,722,45.1,10.2,35,5.5,35,4,0,0,0.0,,0,0,0
Marcedes Lewis,JAC,16,58,88,700,43.8,12.1,42,4.8,37,10,0,0,0.0,,0,2,2
Dustin Keller,NYJ,16,55,101,687,42.9,12.5,41,4.4,33,5,0,0,0.0,,0,0,0
Zach Miller,OAK,15,60,92,685,45.7,11.4,43,4.8,36,5,0,0,0.0,,0,1,0
Tony Gonzalez,ATL,16,70,109,656,41.0,9.4,34,2.8,39,6,0,0,0.0,,0,0,0
Jacob Tamme,IND,16,67,93,631,39.4,9.4,30,4.8,35,4,0,0,0.0,,0,0,0
Todd Heap,BAL,13,40,64,599,46.1,15.0,65,6.3,30,5,0,0,0.0,,0,1,0
Aaron Hernandez,NWE,14,45,64,563,40.2,12.5,46,6.7,27,6,3,47,3.4,15.7,0,0,0
Tony Moeaki,KAN,15,47,73,556,37.1,11.8,34,4.5,31,3,0,0,0.0,,0,0,0
Rob Gronkowski,NWE,16,42,59,546,34.1,13.0,28,4.9,30,10,0,0,0.0,,0,1,1
Kevin Boss,NYG,15,35,70,531,35.4,15.2,54,6.9,22,5,0,0,0.0,,0,1,1
Visanthe Shiancoe,MIN,16,47,80,530,33.1,11.3,33,3.8,21,2,0,0,0.0,,0,0,0
Anthony Fasano,MIA,15,39,60,528,35.2,13.5,31,5.4,29,4,0,0,0.0,,0,0,0
Joel Dreessen,HOU,16,36,55,518,32.4,14.4,43,5.6,24,4,0,0,0.0,,0,1,1
Heath Miller,PIT,14,42,67,512,36.6,12.2,36,5.8,24,2,0,0,0.0,,0,1,1
Brent Celek,PHI,16,42,80,511,31.9,12.2,65,5.8,23,4,0,0,0.0,,0,0,0
Jermaine Gresham,CIN,15,52,83,471,31.4,9.1,27,6.9,26,4,0,0,0.0,,0,2,1
Owen Daniels,HOU,11,38,68,471,42.8,12.4,31,7.6,25,2,0,0,0.0,,0,0,0
Jeremy Shockey,NOR,13,41,59,408,31.4,10.0,31,3.1,22,3,0,0,0.0,,0,0,0
Greg Olsen,CHI,16,41,69,404,25.3,9.9,39,4.2,22,5,0,0,0.0,,0,2,1
Daniel Fells,STL,16,41,65,391,24.4,9.5,36,6.6,24,2,0,0,0.0,,0,0,0
Tony Scheffler,DET,15,45,72,378,25.2,8.4,25,3.7,24,1,0,0,0.0,,0,1,1
Jared Cook,TEN,16,29,45,361,22.6,12.4,36,5.6,18,1,0,0,0.0,,0,0,0
Jimmy Graham,NOR,15,31,44,356,23.7,11.5,52,4.8,21,5,1,3,0.2,3.0,0,1,0
Dallas Clark,IND,6,37,53,347,57.8,9.4,50,3.7,21,3,0,0,0.0,,0,0,0
Delanie Walker,SFO,14,29,45,331,23.6,11.4,38,6.0,13,0,3,18,1.3,6.0,0,1,1
Evan Moore,CLE,12,16,26,322,26.8,20.1,49,6.1,11,1,0,0,0.0,,0,1,1
Bo Scaife,TEN,14,36,52,318,22.7,8.8,30,3.3,17,4,0,0,0.0,,0,2,1
John Carlson,SEA,15,31,58,318,21.2,10.3,37,4.4,12,1,0,0,0.0,,0,0,0
Fred Davis,WAS,16,21,31,316,19.8,15.0,71,8.4,11,3,0,0,0.0,,0,0,0
Jermichael Finley,GNB,5,21,26,301,60.2,14.3,34,5.1,12,1,0,0,0.0,,0,0,0
Dante Rosario,CAR,16,32,58,264,16.5,8.3,26,4.3,15,0,1,-2,-0.1,-2.0,0,0,0
Martellus Bennett,DAL,16,33,48,260,16.3,7.9,32,5.7,12,0,0,0,0.0,,0,1,0
Andrew Quarless,GNB,13,21,33,238,18.3,11.3,23,5.6,13,1,0,0,0.0,,0,1,1
Randy McMichael,SDG,16,20,27,221,13.8,11.1,28,4.9,15,2,0,0,0.0,,0,0,0
David Thomas,NOR,13,30,46,219,16.8,7.3,22,4.4,11,2,0,0,0.0,,0,0,0
Zach Miller,JAC,15,20,26,216,14.4,10.8,52,5.3,10,1,2,9,0.6,4.5,0,0,0
John Gilmore,TAM,16,13,18,160,10.0,12.3,30,7.6,9,1,0,0,0.0,,0,0,0
Ed Dickson,BAL,15,11,23,152,10.1,13.8,58,7.0,5,1,0,0,0.0,,0,0,0
Jim Kleinsasser,MIN,16,17,21,148,9.3,8.7,20,4.8,6,0,0,0,0.0,,0,0,0
Daniel Graham,DEN,16,18,37,148,9.3,8.2,28,2.6,5,0,0,0,0.0,,0,1,0
Michael Hoomanawanui,STL,8,13,22,146,18.3,11.2,36,8.7,9,3,0,0,0.0,,0,0,0
Billy Bajema,STL,13,14,24,145,11.2,10.4,26,5.3,8,2,0,0,0.0,,0,1,0
Ben Patrick,ARI,15,15,18,123,8.2,8.2,21,4.2,5,0,0,0,0.0,,0,1,0
Craig Stevens,TEN,15,11,23,122,8.1,11.1,28,7.3,6,2,0,0,0.0,,0,0,0
Jeff King,CAR,16,19,32,121,7.6,6.4,16,1.7,8,2,0,0,0.0,,0,0,0
Cameron Morrah,SEA,15,9,18,117,7.8,13.0,36,7.6,5,0,0,0,0.0,,0,0,0
Chris Baker,SEA,16,9,19,116,7.3,12.9,44,5.4,4,1,0,0,0.0,,0,0,0
Travis Beckum,NYG,16,13,18,116,7.3,8.9,29,3.0,7,2,0,0,0.0,,0,0,0
Jonathan Stupar,BUF,16,12,13,111,6.9,9.3,35,7.8,4,0,0,0,0.0,,0,1,0
James Casey,HOU,16,8,14,98,6.1,12.3,33,7.9,5,0,0,0,0.0,,0,0,0
Justin Peelle,ATL,13,10,15,96,7.4,9.6,15,5.4,8,1,0,0,0.0,,0,0,0
Maurice Stovall,TAM,12,7,9,81,6.8,11.6,38,9.9,4,1,0,0,0.0,,0,0,0
Matt Spaeth,PIT,14,9,18,80,5.7,8.9,13,4.2,4,1,0,0,0.0,,0,0,0
Brandon Myers,OAK,15,12,16,80,5.3,6.7,16,3.9,4,0,0,0,0.0,,0,0,0
Leonard Pope,KAN,16,10,19,76,4.8,7.6,14,3.7,7,2,0,0,0.0,,0,0,0
Kory Sperry,SDG,7,4,4,73,10.4,18.3,35,10.3,3,0,0,0,0.0,,0,0,0
Donald Lee,GNB,15,11,12,73,4.9,6.6,17,4.8,6,3,0,0,0.0,,0,1,1
Kris Wilson,SDG,14,6,9,73,5.2,12.2,37,9.8,2,0,0,0,0.0,,0,1,1
Clay Harbor,PHI,9,9,15,72,8.0,8.0,24,2.2,3,1,0,0,0.0,,0,0,0
Bear Pascoe,NYG,15,9,13,72,4.8,8.0,12,6.7,5,0,0,0,0.0,,0,0,0
Dan Gronkowski,DEN,12,8,13,65,5.4,8.1,13,3.6,3,0,0,0,0.0,,0,0,0
Tom Crabtree,GNB,16,4,7,61,3.8,15.3,33,8.3,2,0,0,0,0.0,,0,0,0
Robert Royal,CLE,15,5,12,56,3.7,11.2,20,3.4,2,1,0,0,0.0,,0,0,0
Alge Crumpler,NWE,16,6,10,52,3.3,8.7,27,5.8,4,2,0,0,0.0,,0,0,0
Jim Dray,ARI,16,3,9,47,2.9,15.7,24,7.7,3,0,0,0,0.0,,0,0,0
David Johnson,PIT,16,4,6,46,2.9,11.5,25,7.5,2,0,0,0,0.0,,0,0,0
Mickey Shuler,MIA,6,2,5,44,7.3,22.0,28,7.0,2,0,0,0,0.0,,0,0,0
David Martin,BUF,16,7,8,43,2.7,6.1,15,3.7,3,1,0,0,0.0,,0,0,0
Brandon Manumaleuna,CHI,16,5,7,43,2.7,8.6,16,5.4,4,1,0,0,0.0,,0,0,0
Jerramy Stevens,TAM,5,3,5,43,8.6,14.3,22,4.7,2,0,0,0,0.0,,0,0,0
Reggie Kelly,CIN,16,10,13,42,2.6,4.2,9,2.9,0,0,0,0,0.0,,0,0,0
Stephen Spach,ARI,15,7,17,40,2.7,5.7,14,3.1,3,0,0,0,0.0,,0,0,0
Brody Eldridge,IND,14,5,9,39,2.8,7.8,10,3.6,1,0,0,0,0.0,,0,0,0
Ryan Purvis,TAM,10,5,6,38,3.8,7.6,12,6.2,3,0,0,0,0.0,,0,0,0
Will Heller,DET,16,4,5,37,2.3,9.3,13,8.8,1,1,0,0,0.0,,0,0,0
Jake O'Connell,KAN,15,3,4,31,2.1,10.3,18,8.3,2,0,0,0,0.0,,0,0,0
Jeff Dugan,MIN,16,4,5,30,1.9,7.5,10,6.3,3,0,2,2,0.1,1.0,0,0,0
Chase Coffman,CIN,6,3,5,30,5.0,10.0,14,6.3,2,0,0,0,0.0,,0,0,0
Michael Palmer,ATL,14,5,8,29,2.1,5.8,11,3.6,3,1,0,0,0.0,,0,0,0
Nate Byham,SFO,14,5,7,27,1.9,5.4,9,5.4,0,0,0,0,0.0,,0,0,0
Shawn Nelson,BUF,5,3,4,25,5.0,8.3,12,4.7,1,0,0,0,0.0,,0,1,1
Zach Potter,JAC,13,3,8,24,1.8,8.0,10,4.3,1,0,0,0,0.0,,0,0,0
Kellen Davis,CHI,16,1,2,19,1.2,19.0,19,4.0,1,1,0,0,0.0,,0,0,0
Garrett Mills,PHI,7,2,3,19,2.7,9.5,14,0.0,1,0,0,0,0.0,,0,0,0
Fendi Onobun,STL,3,2,4,15,5.0,7.5,8,3.5,1,0,0,0,0.0,,0,0,0
Tory Humphrey,NOR,6,1,2,12,2.0,12.0,12,12.0,1,0,0,0,0.0,,0,0,0
Gijon Robinson,IND,11,3,7,12,1.1,4.0,6,2.3,2,1,0,0,0.0,,0,0,0
Desmond Clark,CHI,5,1,2,12,2.4,12.0,12,9.0,1,0,0,0,0.0,,0,0,0
Logan Paulsen,WAS,10,2,2,10,1.0,5.0,9,4.5,1,1,0,0,0.0,,0,0,0
Richard Quinn,DEN,14,1,2,9,0.6,9.0,9,11.0,0,0,0,0,0.0,,0,0,0
Scott Chandler,BUF,4,1,3,8,0.6,8.0,8,5.0,0,0,0,0,0.0,,0,0,0
Ben Hartsock,NYJ,16,1,3,7,0.4,7.0,7,1.0,1,0,0,0,0.0,,0,0,0
Alex Smith,CLE,3,1,1,6,2.0,6.0,6,3.0,0,0,0,0,0.0,,0,0,0
Ernest Wilford,JAC,2,1,2,3,1.5,3.0,3,0.0,0,0,0,0,0.0,,0,0,0
Jeff Cumberland,NYJ,1,1,2,3,3.0,3.0,3,3.0,0,0,0,0,0.0,,0,0,0
Dennis Pitta,BAL,11,1,5,1,0.1,1.0,1,0.0,0,0,0,0,0.0,,0,0,0
Mike Leach,ARI,16,0,0,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Brian Jennings,SFO,16,0,0,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Joe Zelenka,ATL,16,0,0,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Jeron Mastrud,MIA,8,0,1,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Justin Snow,IND,16,0,0,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
J.P. Foschi,CIN,2,0,0,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Martin Rucker,DAL,5,0,0,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Gary Barnidge,CAR,16,0,9,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Matthew Mulligan,NYJ,13,0,1,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Daniel Coats,CIN,6,0,2,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Derek Schouman,STL,3,0,0,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Darcy Johnson,STL,4,0,2,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Spencer Havner,DET,5,0,0,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
Colin Cloherty,SFO,2,0,0,0,0.0,,0,,0,0,0,0,0.0,,0,0,0
